created_at,full_text,id_str
12/02/2025,"Iya juga ya, gua baru ngeuh tiap gerakan revolusi itu dampaknya negatif ke tatanan sosial. Kalaupun bisa, pasti lama",7158676386420589570
12/02/2025,"iyaa kebanyakan secara sejarah revolusi pasti membekaskan luka bagi masyarakat sepanjang masa, tapi justru bisa jadi itu kunci perubahan yang sebenarnya😔",6855842273196950530
11/02/2025,Dikira hunger games😭😭,6878112130009629698
12/02/2025,"bahaya bro, separah parahnya negeri ini ga harus revolusi segala",6917132412955051013
11/02/2025,"revolusi selalu di iringi sama perang saudara, berhentinya aktifitas ekonomi dan berhentinya keamaanan negara. dalam artian kuatkah bertahan dimasa masa sulit negara. kalo sebulan mendingan kalo berpuluh puluh tahun kek afganistan gimana? bencana kelaparan. belom kelompok militan. kaum rebahan udh dipastikan musnah🗿",6989357082928907265
11/02/2025,kalau ada revolusi yg ada tambah cheos,6785643105301070849
12/02/2025,"revolusi apaan? kata mulyono lapangan pekerjaan bakal melimpah, udah dua periode sampe ganti presiden baru loh ga ada perubahan🤣",6957326339553346561
14/02/2025,order 66🗿🗿,6961211286034301958
16/02/2025,@reree🌷,6943479053966197762
15/02/2025,"klw gk ke Prabowo sama siapa lagi bos.kan dia presiden nya
warga yg buat tagar kabur aja dulu karna UD muak dengan kebijakan2 pemimpin negara ini
pemikiran lu gimana sih.dia punya pendapat saling menghargai aja",7110417248746308614
15/02/2025,jgn ke sana dong di situ emang rawan kejahatan nya,6985578625941603330
15/02/2025,"wkwkw,temen saya pernah ditawarin kerja ke Kamboja tapi langsung ditolak😂",6916122412459770882
15/02/2025,"itu yg harusnya mereka antisipasi
di kira pindah negara kek pindah kabupaten 🗿",6904458581358183426
15/02/2025,wkw,7374548042843898886
14/02/2025,udah 2 tahun di Singapore aman aja💀,6966960078013072385
14/02/2025,@Holocaust,6819879930231702529
