Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,
,PDRB Triwulanan Atas Dasar Harga Konstan (2010=100) Menurut Lapangan Usaha di Kabupaten/Kota Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,
,Sektor Primer,,,,,Sektor Sekunder,,,,,Sektor Tersier,,,,,PDRB,,,,
,2025,,,,,2025,,,,,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Musi Banyuasin,9310.89,9164.37,9391.04,-,-,2198.61,2276.27,2330.98,-,-,2031.14,2165.58,2140.12,-,-,13540.63,13606.21,13862.13,-,-
Banyu Asin,2730.75,2537.17,2494.48,-,-,2308.12,2368.71,2433.2,-,-,1448.36,1535.05,1412.36,-,-,6487.23,6440.93,6340.04,-,-
Ogan Komering Ulu Selatan,608.68,597.13,697.04,-,-,424.79,442.04,438.27,-,-,727.51,735.93,741.83,-,-,1760.98,1775.09,1877.15,-,-
Ogan Komering Ulu Timur,1246.71,1389.57,1507.49,-,-,754.07,792.89,794.7,-,-,1092.32,1179.92,1190.1,-,-,3093.11,3362.38,3492.29,-,-
Ogan Ilir,621.28,639.57,751.79,-,-,616.57,631.69,628.64,-,-,994.56,1047.9,1050.06,-,-,2232.42,2319.16,2430.49,-,-
Empat Lawang,440.52,494.47,483.37,-,-,204.45,210.26,218.87,-,-,389.26,397.86,408.34,-,-,1034.23,1102.59,1110.58,-,-
Penukal Abab Lematang Ilir,854.5,822.95,885.6,-,-,230.94,250.08,252.23,-,-,332.22,343.56,350.31,-,-,1417.66,1416.6,1488.14,-,-
Musi Rawas Utara,1165.33,1261.11,1321.47,-,-,172.04,171.48,171.03,-,-,271.92,278.91,280.69,-,-,1609.29,1711.5,1773.19,-,-
Kota Palembang,122.68,130.02,165.04,-,-,15297.78,15723.4,15812.7,-,-,16517.04,16867.84,17345.08,-,-,31937.5,32721.27,33322.82,-,-
Kota Prabumulih,274.92,284.54,290.45,-,-,414.82,421.47,429.62,-,-,951.96,978.36,976.48,-,-,1641.7,1684.37,1696.55,-,-
Kota Pagar Alam,170.85,188.9,181.29,-,-,121.49,126.4,127.25,-,-,379.86,394.77,401.89,-,-,672.2,710.07,710.43,-,-
Kota Lubuklinggau,85.49,89.15,85.55,-,-,362.31,376.86,380.27,-,-,852.75,869.2,876.16,-,-,1300.55,1335.21,1341.98,-,-
Bengkulu Selatan,353.63,374.36,359.19,-,-,81.59,90.16,95.11,-,-,600.17,650.14,642.9,-,-,1035.39,1114.67,1097.2,-,-
Rejang Lebong,548.12,575.83,537.77,-,-,136.92,152.99,155.44,-,-,1088.05,1175.11,1152.42,-,-,1773.09,1903.93,1845.63,-,-
Bengkulu Utara,745.66,726.64,729.56,-,-,182.27,204.67,205.37,-,-,617.48,665.62,658.25,-,-,1545.41,1596.93,1593.18,-,-
Kaur,342.96,366.93,350.36,-,-,63.87,69.71,72.52,-,-,245.81,265.34,256.3,-,-,652.64,701.98,679.18,-,-
Seluma,402.07,417.44,390.03,-,-,109.85,123.06,123.13,-,-,296.56,320.74,315.48,-,-,808.48,861.24,828.63,-,-
Mukomuko,437.45,474.42,456.92,-,-,146.58,165.67,165.67,-,-,375.23,411.53,390.79,-,-,959.25,1051.62,1013.38,-,-
Lebong,270.77,279.05,268.89,-,-,82.73,91.95,95.06,-,-,251.37,274.9,263.26,-,-,604.87,645.91,627.21,-,-
Kepahiang,355.14,375.57,359.87,-,-,102.27,112.34,115.41,-,-,361.56,390.55,377.7,-,-,818.97,878.46,852.98,-,-
Bengkulu Tengah,363.15,340.31,353.73,-,-,151.34,167.39,164.95,-,-,319.12,339.79,325.31,-,-,833.61,847.49,843.98,-,-
Kota Bengkulu,350.07,383.49,374.21,-,-,340.95,375.86,378.37,-,-,3981.43,4293.99,4062.99,-,-,4672.45,5053.34,4815.57,-,-
Lampung Barat,594.02,676.86,718.92,-,-,143.73,157.57,165,-,-,674.46,683.04,686.76,-,-,1412.21,1517.47,1570.69,-,-
Tanggamus,1211.59,1425.63,1409.76,-,-,468.98,508.19,516.99,-,-,1362.89,1415.2,1402.84,-,-,3043.46,3349.03,3329.59,-,-
Lampung Selatan,2033.24,2750.27,2676.13,-,-,3261.31,3350.49,3448.72,-,-,3355.26,3445.13,3451.06,-,-,8649.81,9545.9,9575.92,-,-
Lampung Timur,3775.72,4597.91,4421.85,-,-,1270.7,1376.8,1405.76,-,-,2749.11,2850.62,2834.52,-,-,7795.53,8825.33,8662.13,-,-
Lampung Tengah,4206.27,5439.38,5472.06,-,-,4932.73,5180.91,5432.53,-,-,4542.55,4584.82,4559.77,-,-,13681.55,15205.1,15464.36,-,-
Lampung Utara,1377.08,1752.51,1736.14,-,-,1086.37,1156.3,1191.18,-,-,2104.45,2155.76,2148.06,-,-,4567.9,5064.58,5075.38,-,-
Way Kanan,901.37,1086.92,1149.53,-,-,848.25,887.58,894.46,-,-,994.23,1018.8,1018.1,-,-,2743.84,2993.3,3062.09,-,-
Tulangbawang,1396.87,1768.39,1732.36,-,-,1565.16,1644.52,1719.88,-,-,1481.49,1516.15,1521.99,-,-,4443.52,4929.06,4974.23,-,-
Pesawaran,1109.31,1368.19,1372,-,-,842.94,878.67,897.8,-,-,1265.86,1299.13,1296.79,-,-,3218.11,3545.99,3566.59,-,-
Pringsewu,432.83,535.38,534.79,-,-,594.74,624.16,645.19,-,-,1213.96,1244.61,1241.9,-,-,2241.53,2404.16,2421.88,-,-
Mesuji,674.12,831.47,815.21,-,-,670.92,711.63,743.25,-,-,607.9,624.98,623.47,-,-,1952.94,2168.08,2181.93,-,-
Tulang Bawang Barat,571.35,832.02,823.39,-,-,859.68,897.77,932.66,-,-,752.3,766.21,766.31,-,-,2183.33,2495.99,2522.36,-,-
Pesisir Barat,373.88,432.99,436.65,-,-,103,108.74,110.36,-,-,364.43,372.9,374.27,-,-,841.31,914.63,921.28,-,-
Kota Bandar Lampung,636.96,675.95,673.26,-,-,3457.63,3691.04,3803.08,-,-,7609.52,7816.63,7741.14,-,-,11704.12,12183.62,12217.48,-,-
Kota Metro,51.19,71.02,70.96,-,-,284.92,299.69,314.74,-,-,924.82,949.03,955.33,-,-,1260.93,1319.74,1341.03,-,-
